gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,curcd,ceq,csho,ebit,ni,sale,costat,prcc_c,act,at,ch,dltt,ebit,lct,tie,city,invt,emp,cogs
3504,20191031,2019,INDL,C,D,STD,COO,USD,3628.4,49.1,586.5,466.7,2653.4,A,321.29,1163.4,6274.5,89,1262.6,586.5,1110.6,,San Ramon,506.9,12,733.4
3505,20191231,2019,INDL,C,D,STD,TAP,USD,13419.4,216.3,1500.9,241.7,10579.4,A,53.9,2184.4,28859.8,523.4,8229,1500.9,3695.5,,Denver,615.9,17.7,5769.4
3532,20191231,2019,INDL,C,D,STD,GLW,USD,10607,762,1752,960,11503,A,29.11,7463,28898,2434,8179,1752,3521,,Corning,2320,49.5,5690
3562,20191231,2019,INDL,C,D,STD,CUZ,USD,4357.557,146.762,148.766,150.418,670.181,A,41.2,,7151.447,15.603,2253.385,148.766,,,Atlanta,0,0.331,484.408
3570,20190731,2019,INDL,C,D,STD,CBRL,USD,604.71,24.049,282.844,223.401,3071.951,A,153.74,242.38,1581.225,36.884,400,282.844,392.474,,Lebanon,154.958,73,2528.987
3580,20191231,2019,INDL,C,D,STD,CR,USD,1473.7,59.002,493.8,133.3,3283.1,A,86.38,1499.9,4423.7,393.9,933.5,493.8,916.7,,Stamford,457.3,13,1992.5
3592,20191231,2019,INDL,C,D,STD,OMF,USD,4330,136.101,2117,855,4784,A,42.15,,22817,1227,17388,2117,,,Evansville,64,9.7,2396
3619,20191231,2019,INDL,C,D,STD,CCK,USD,1713,135.578,1195,510,11665,A,72.54,4002,15505,607,7985,1195,3899,,Yardley,1626,33,9349
3643,20191231,2019,INDL,C,D,STD,CFR,USD,3767.182,62.669,630.637,443.599,1490.987,A,97.78,,34027.428,581.857,554.45,630.637,,129.78,San Antonio,1.084,4.659,163.539
3650,20191231,2019,INDL,C,D,STD,CMI,USD,7507,150.5,2505,2260,23571,A,178.96,9387,19737,1129,1946,2505,6260,,Columbus,3486,61.615,16942
3662,20191231,2019,INDL,C,D,STD,CW,USD,1774.372,42.68,403.953,307.583,2487.961,A,140.89,1529.791,3764.261,391.033,916.745,403.953,744.731,,Davidson,424.835,9.1,1486.804
3708,20191231,2019,INDL,C,D,STD,WEN,USD,516.359,224.889,265.297,136.94,1709.002,A,22.21,554.047,4994.529,300.195,3636.145,265.297,349.698,,Dublin,3.891,13.3,597.53
